exp,dataset,horizon,MSE,MAE,MAPE,params,gpu_h,seed
longhorizon,ETTh2,96,0.358,0.382,,1.68M,0.4,2024
longhorizon,ETTh2,192,0.372,0.395,,1.68M,0.5,2024
longhorizon,ETTh2,336,0.391,0.412,,1.68M,0.7,2024
longhorizon,ETTh2,720,0.425,0.438,,1.68M,1.0,2024
longhorizon,Electricity,96,0.178,0.268,,1.68M,1.2,2024
longhorizon,Electricity,192,0.185,0.275,,1.68M,1.5,2024
longhorizon,Electricity,336,0.198,0.288,,1.68M,2.0,2024
longhorizon,Electricity,720,0.221,0.308,,1.68M,2.8,2024
longhorizon,Weather,96,0.245,0.273,,1.68M,0.3,2024
longhorizon,Weather,192,0.258,0.285,,1.68M,0.4,2024
longhorizon,Weather,336,0.275,0.298,,1.68M,0.5,2024
longhorizon,Weather,720,0.312,0.328,,1.68M,0.7,2024
adaptive_alpha,SD,12,,17.55,11.08,1.69M,4.9,2024
adaptive_alpha,GBA,12,,20.53,14.95,1.69M,5.2,2024
adaptive_alpha,Electricity,96,0.176,0.266,,1.69M,1.3,2024
llm_tfg,SD,12,,17.51,11.02,2.12M,5.5,2024
llm_tfg,Electricity,96,0.173,0.263,,2.12M,1.8,2024
llm_tfg,ETTh2,96,0.352,0.378,,2.12M,0.5,2024
both,SD,12,,17.48,10.98,2.13M,5.6,2024
both,Electricity,96,0.172,0.262,,2.13M,1.9,2024
both,ETTh2,96,0.350,0.376,,2.13M,0.5,2024
